soubor,verze_api,lat,lon,sklon_deg,azimut_deg,db,E_y_kwh_kwp,SD_y,E_m01,E_m02,E_m03,E_m04,E_m05,E_m06,E_m07,E_m08,E_m09,E_m10,E_m11,E_m12
v5_2_A_Breclav,v5_2,48.76,16.88,35,0,PVGIS-SARAH2,1150.5,54.8,41.32,61.52,100.36,131.74,131.42,134.9,138.5,132.11,111.54,80.84,48.15,38.1
v5_2_A_Brno,v5_2,49.2,16.61,35,0,PVGIS-SARAH2,1118.42,56.44,41.08,58.01,99.41,129.82,130.79,131.37,135.91,129.45,108.33,76.69,43.37,34.2
v5_2_A_CBudejovice,v5_2,48.97,14.47,35,0,PVGIS-SARAH2,1080.51,57.61,41.57,62.31,93.48,122.19,121.89,123.42,129.28,121.48,102.09,77.47,44.14,41.18
v5_2_A_Ostrava,v5_2,49.82,18.26,35,0,PVGIS-SARAH2,1057.44,55.95,40.19,51.02,89.01,118.88,119.5,123.1,130.34,124.77,100.13,76.04,46.89,37.56
v5_2_A_Praha,v5_2,50.08,14.43,35,0,PVGIS-SARAH2,1083.7,53.58,38.76,58.46,92.87,124.51,128.58,129.59,131.94,123.62,104.4,74.01,40.69,36.27
v5_2_A_UstiNL,v5_2,50.66,14.03,35,0,PVGIS-SARAH2,1026.31,58.85,30.93,53.53,87.89,122.11,127.34,127.86,130.52,120.98,100.76,66.8,32.63,24.95
v5_2_B_Stred_a35_az0,v5_2,49.8,15.5,35,0,PVGIS-SARAH2,1046.75,61.7,32.71,52.05,86.9,123.18,126.81,126.98,130.3,122.2,103.06,73.2,38.14,31.24
v5_2_C_a0_az0,v5_2,49.8,15.5,0,0,PVGIS-SARAH2,895.86,42.51,18.38,33.96,67.12,108.04,125.12,130.96,131.8,112.83,81.97,48.63,21.8,15.25
v5_2_C_a15_az0,v5_2,49.8,15.5,15,0,PVGIS-SARAH2,993.18,52.82,25.64,43.46,78.4,118.41,129.56,132.84,134.93,120.6,94.36,61.68,30.14,23.18
v5_2_C_a15_az180,v5_2,49.8,15.5,15,-179,PVGIS-SARAH2,759.77,30.21,12.24,23.12,51.85,91.71,114.83,123.28,122.71,99.29,64.64,32.78,13.68,9.65
v5_2_C_a15_az45,v5_2,49.8,15.5,15,45,PVGIS-SARAH2,959.87,48.22,23.3,40.56,75.07,114.72,127.21,131.74,133.18,117.27,90.28,58.0,27.62,20.9
v5_2_C_a15_az90,v5_2,49.8,15.5,15,90,PVGIS-SARAH2,880.72,40.28,18.41,34.01,66.67,105.76,121.9,128.4,128.81,109.93,80.54,48.73,21.97,15.58
v5_2_C_a35_az180,v5_2,49.8,15.5,35,-179,PVGIS-SARAH2,568.35,16.49,10.99,17.77,31.09,61.25,91.74,103.43,100.84,72.39,36.96,21.19,11.81,8.88
v5_2_C_a35_az45,v5_2,49.8,15.5,35,45,PVGIS-SARAH2,984.61,52.64,27.69,45.94,80.24,116.66,123.27,125.78,128.38,116.83,95.19,65.55,32.74,26.35
v5_2_C_a35_az90,v5_2,49.8,15.5,35,90,PVGIS-SARAH2,835.56,38.18,18.24,33.47,64.51,99.92,113.52,119.72,120.2,103.11,76.96,48.09,21.88,15.94
v5_2_C_a60_az0,v5_2,49.8,15.5,60,0,PVGIS-SARAH2,984.75,63.7,36.58,55.52,86.38,114.01,109.28,106.1,110.42,109.9,100.62,77.32,42.39,36.23
v5_2_C_a60_az180,v5_2,49.8,15.5,60,-179,PVGIS-SARAH2,353.5,8.13,8.14,13.34,23.0,33.78,53.39,64.66,60.96,39.79,24.98,16.18,8.76,6.53
v5_2_C_a60_az45,v5_2,49.8,15.5,60,45,PVGIS-SARAH2,910.29,52.08,29.19,46.61,77.3,106.6,107.51,107.79,110.97,104.49,90.23,66.1,34.44,29.07
v5_2_C_a60_az90,v5_2,49.8,15.5,60,90,PVGIS-SARAH2,730.87,35.26,16.24,30.04,57.36,87.2,97.83,102.75,103.78,89.31,68.29,43.55,19.82,14.7
v5_3_A_Breclav,v5_3,48.76,16.88,35,0,PVGIS-SARAH3,1163.85,51.16,42.49,63.51,104.95,128.16,132.52,137.23,140.91,131.99,112.52,83.47,48.63,37.46
v5_3_A_Brno,v5_3,49.2,16.61,35,0,PVGIS-SARAH3,1116.61,51.48,43.3,61.52,101.77,124.38,128.92,131.68,135.24,127.01,107.6,78.5,42.41,34.26
v5_3_A_CBudejovice,v5_3,48.97,14.47,35,0,PVGIS-SARAH3,1095.0,55.28,40.38,63.62,96.41,120.08,124.18,127.8,132.01,122.03,104.21,79.47,45.05,39.76
v5_3_A_Ostrava,v5_3,49.82,18.26,35,0,PVGIS-SARAH3,1062.64,51.09,40.22,52.9,92.08,114.74,119.77,126.04,130.93,123.17,101.07,78.68,46.61,36.43
v5_3_A_Praha,v5_3,50.08,14.43,35,0,PVGIS-SARAH3,1091.62,53.9,40.0,60.64,95.73,121.93,129.51,130.98,131.53,122.79,105.44,76.13,41.1,35.83
v5_3_A_UstiNL,v5_3,50.66,14.03,35,0,PVGIS-SARAH3,1029.32,56.8,30.89,55.11,90.6,118.31,128.61,128.99,130.49,119.66,101.64,68.2,32.07,24.75
v5_3_B_Stred_a35_az0,v5_3,49.8,15.5,35,0,PVGIS-SARAH3,1055.25,58.68,32.34,54.66,89.64,120.02,127.58,129.85,131.45,121.23,103.9,76.01,37.94,30.63
v5_3_C_a0_az0,v5_3,49.8,15.5,0,0,PVGIS-SARAH3,901.47,40.22,18.34,34.89,68.5,105.82,125.98,133.77,132.82,112.06,82.61,49.94,21.72,15.03
v5_3_C_a15_az0,v5_3,49.8,15.5,15,0,PVGIS-SARAH3,1000.32,50.16,25.43,45.24,80.49,115.64,130.38,135.76,136.02,119.71,95.12,63.75,30.0,22.78
v5_3_C_a15_az180,v5_3,49.8,15.5,15,-179,PVGIS-SARAH3,763.42,28.16,12.36,23.13,52.35,90.24,115.71,125.82,123.63,98.69,65.1,33.2,13.63,9.55
v5_3_C_a15_az45,v5_3,49.8,15.5,15,45,PVGIS-SARAH3,966.58,46.07,23.07,42.08,76.92,112.15,128.1,134.54,134.47,116.52,91.14,59.66,27.49,20.44
v5_3_C_a15_az90,v5_3,49.8,15.5,15,90,PVGIS-SARAH3,886.38,38.52,18.26,34.93,68.01,103.63,122.83,131.01,130.14,109.31,81.35,49.79,21.87,15.25
v5_3_C_a35_az180,v5_3,49.8,15.5,35,-179,PVGIS-SARAH3,571.0,15.58,11.14,17.61,30.68,61.11,92.62,105.34,101.55,72.07,37.13,21.2,11.75,8.79
v5_3_C_a35_az45,v5_3,49.8,15.5,35,45,PVGIS-SARAH3,992.25,50.57,27.28,47.99,82.5,113.87,124.16,128.49,129.92,116.11,96.24,67.5,32.55,25.64
v5_3_C_a35_az90,v5_3,49.8,15.5,35,90,PVGIS-SARAH3,841.43,36.94,18.02,34.5,65.81,97.99,114.52,122.09,121.77,102.63,77.87,48.97,21.77,15.5
v5_3_C_a60_az0,v5_3,49.8,15.5,60,0,PVGIS-SARAH3,993.73,60.59,36.12,58.67,89.46,110.88,109.94,108.55,111.51,108.94,101.44,80.57,42.15,35.49
v5_3_C_a60_az180,v5_3,49.8,15.5,60,-179,PVGIS-SARAH3,355.33,7.85,8.26,13.22,22.77,34.24,54.2,65.37,61.3,39.59,25.0,16.2,8.72,6.46
v5_3_C_a60_az45,v5_3,49.8,15.5,60,45,PVGIS-SARAH3,918.03,50.23,28.66,48.95,79.71,103.9,108.36,110.18,112.53,103.88,91.35,68.13,34.21,28.17
v5_3_C_a60_az90,v5_3,49.8,15.5,60,90,PVGIS-SARAH3,736.51,34.36,16.0,31.16,58.55,85.51,98.85,104.77,105.34,88.98,69.18,44.28,19.7,14.19
v5_3_optimalangles,v5_3,49.8,15.5,37,-4,PVGIS-SARAH3,1056.09,59.42,32.88,55.28,90.02,119.97,126.97,128.8,130.45,121.02,104.22,76.76,38.5,31.21
